PAPEL,Ano,P/L,P/RECEITA (PSR),P/VP,DIVIDEND YIELD (DY),PAYOUT,MARGEM LÍQUIDA,MARGEM BRUTA,MARGEM EBIT,MARGEM EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO CIRC LIQ,VPA,LPA,GIRO ATIVOS,ROE,ROIC,ROA,DÍVIDA LÍQUIDA / EBITDA,DÍVIDA LÍQUIDA / EBIT,DÍVIDA BRUTA / PATRIMÔNIO,PATRIMÔNIO / ATIVOS,PASSIVOS / ATIVOS,LIQUIDEZ CORRENTE,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,Valor de mercado,Valor de firma,Patrimônio Líquido,Nº total de papeis,Ativos,Ativo Circulante,Dívida Bruta,Dívida Líquida,Disponibilidade,Segmento de Listagem,Free Float,Tag Along,Liquidez Média Diária,Setor,Segmento,Rentab_1M,Rentab_3M,Rentab_1A,Rentab_2A,Rentab_5A,Rentab_10A
CSAN,2021,6.61,1.63,2.75,"2,92%","42,84%","24,58%","25,45%","34,83%","43,75%",6.72,8.44,3.72,4.67,0.41,2.82,-0.57,7.90,3.28,0.25,"41,54%","12,92%","6,49%",3.01,3.77,3.32,0.15,0.70,2.11,"26,99%","35,51%",R$ 10.042.151.000,R$ 63.290.197.000,R$ 7.191.060.000,1.866.570.000,R$ 126.036.274.000,R$ 26.882.697.000,R$ 66.775.935.000,R$ 53.248.046.000,R$ 13.527.889.000,Novo Mercado,"62,18%","100,00%",R$ 102.584.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-9,73%","-30,22%","-61,41%","-69,08%","-71,27%","66,59%"
CSAN,2020,41.48,2.62,3.26,"1,98%","82,05%","6,31%","27,34%","17,98%","22,60%",15.15,19.03,11.58,14.55,0.99,7.04,-1.45,23.25,1.83,0.38,"7,85%","8,24%","2,55%",3.57,4.48,1.43,0.30,0.68,1.78,"9,83%","0,65%",R$ 10.042.151.000,R$ 63.290.197.000,R$ 7.191.060.000,1.866.570.000,R$ 126.036.274.000,R$ 26.882.697.000,R$ 66.775.935.000,R$ 53.248.046.000,R$ 13.527.889.000,Novo Mercado,"62,18%","100,00%",R$ 102.584.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-9,73%","-30,22%","-61,41%","-69,08%","-71,27%","66,59%"
RECV,Atual,5.75,1.12,0.85,"17,30%","97,96%","19,55%","39,37%","27,31%","48,80%",3.02,5.39,2.30,4.11,0.52,6.05,-0.62,15.13,2.24,0.47,"14,80%","11,29%","9,12%",0.72,1.28,0.41,0.62,0.38,2.22,"33,79%",-,R$ 3.635.723.000,R$ 4.808.573.000,R$ 4.438.631.000,293.440.000,R$ 7.201.845.000,R$ 1.135.282.000,R$ 1.824.398.000,R$ 1.172.850.000,R$ 651.548.000,Nível 1,"93,96%","100,00%",R$ 22.717.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-9,83%","-13,24%","-38,68%","-36,20%","0,00%","0,00%"
RECV,2024,10.87,1.46,1.12,"16,97%","184,53%","13,40%","41,15%","29,05%","50,33%",4.18,7.25,2.90,5.02,0.65,-0.85,-0.78,14.43,1.49,0.44,"10,33%","13,60%","5,96%",1.29,2.23,0.56,0.58,1.26,0.18,-%,-%,R$ 3.635.723.000,R$ 4.808.573.000,R$ 4.438.631.000,293.440.000,R$ 7.201.845.000,R$ 1.135.282.000,R$ 1.824.398.000,R$ 1.172.850.000,R$ 651.548.000,Nível 1,"93,96%","100,00%",R$ 22.717.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-9,83%","-13,24%","-38,68%","-36,20%","0,00%","0,00%"
RECV,2023,8.99,2.26,1.41,"4,56%","40,98%","25,19%","31,90%","24,16%","45,67%",5.27,9.96,4.96,9.38,0.93,78.13,-1.12,15.40,2.42,0.41,"15,69%","12,17%","10,38%",0.31,0.58,0.20,0.66,0.34,1.08,-%,-%,R$ 3.635.723.000,R$ 4.808.573.000,R$ 4.438.631.000,293.440.000,R$ 7.201.845.000,R$ 1.135.282.000,R$ 1.824.398.000,R$ 1.172.850.000,R$ 651.548.000,Nível 1,"93,96%","100,00%",R$ 22.717.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-9,83%","-13,24%","-38,68%","-36,20%","0,00%","0,00%"
RECV,2022,8.43,3.27,2.55,"2,35%","19,80%","38,76%","48,44%","42,28%","53,66%",5.46,6.93,6.09,7.73,1.48,13.12,-2.18,12.99,3.93,0.45,"30,27%","24,34%","17,52%",-0.63,-0.80,0.17,0.58,0.42,1.53,-%,-%,R$ 3.635.723.000,R$ 4.808.573.000,R$ 4.438.631.000,293.440.000,R$ 7.201.845.000,R$ 1.135.282.000,R$ 1.824.398.000,R$ 1.172.850.000,R$ 651.548.000,Nível 1,"93,96%","100,00%",R$ 22.717.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-9,83%","-13,24%","-38,68%","-36,20%","0,00%","0,00%"
RECV,2021,31.02,5.27,2.93,"0,00%","0,00%","17,00%","35,82%","27,35%","36,86%",14.14,19.06,14.31,19.28,1.16,-25.92,-1.49,6.38,0.60,0.22,"9,45%","8,72%","3,75%",-0.16,-0.22,0.40,0.40,0.60,0.83,-%,-%,R$ 3.635.723.000,R$ 4.808.573.000,R$ 4.438.631.000,293.440.000,R$ 7.201.845.000,R$ 1.135.282.000,R$ 1.824.398.000,R$ 1.172.850.000,R$ 651.548.000,Nível 1,"93,96%","100,00%",R$ 22.717.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-9,83%","-13,24%","-38,68%","-36,20%","0,00%","0,00%"
RECV,2020,0.00,0.00,0.00,"0,00%","0,00%","-10,71%","35,20%","0,00%","0,00%",-,-,-,-,0.00,0.00,0.00,3.34,-0.29,0.38,"-8,57%","-1,71%","-4,04%",-,-,0.91,0.47,0.53,0.91,-%,-%,R$ 3.635.723.000,R$ 4.808.573.000,R$ 4.438.631.000,293.440.000,R$ 7.201.845.000,R$ 1.135.282.000,R$ 1.824.398.000,R$ 1.172.850.000,R$ 651.548.000,Nível 1,"93,96%","100,00%",R$ 22.717.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-9,83%","-13,24%","-38,68%","-36,20%","0,00%","0,00%"
PRIO,Atual,3.20,2.37,1.30,-,-,"73,88%","34,70%","26,83%","54,84%",6.64,13.57,4.31,8.82,0.61,10.72,-0.73,29.21,11.81,0.26,"40,45%","-6,47%","19,10%",2.32,4.75,0.88,0.47,0.53,1.54,"49,74%","87,83%",R$ 33.523.346.000,R$ 51.799.121.000,R$ 26.180.888.000,896.346.000,R$ 55.437.714.000,R$ 9.062.136.000,R$ 23.035.331.000,R$ 18.275.775.000,R$ 4.759.556.000,Novo Mercado,"89,53%","100,00%",R$ 274.759.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-13,61%","-5,67%","-21,90%","-16,94%","308,15%","13.278,60%"
PRIO,2024,3.49,2.51,1.39,"0,00%","0,00%","71,73%","50,66%","48,36%","65,73%",5.77,7.84,3.81,5.18,0.65,8.44,-0.75,28.92,11.49,0.26,"39,74%","6,21%","18,48%",1.95,2.66,0.87,0.47,0.53,2.16,"54,25%","74,54%",R$ 33.523.346.000,R$ 51.799.121.000,R$ 26.180.888.000,896.346.000,R$ 55.437.714.000,R$ 9.062.136.000,R$ 23.035.331.000,R$ 18.275.775.000,R$ 4.759.556.000,Novo Mercado,"89,53%","100,00%",R$ 274.759.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-13,61%","-5,67%","-21,90%","-16,94%","308,15%","13.278,60%"
PRIO,2023,7.97,3.39,2.97,"0,16%","1,26%","42,57%","65,10%","58,81%","75,70%",5.27,6.78,4.48,5.77,1.46,22.54,-1.79,15.48,5.78,0.43,"37,32%","26,59%","18,30%",0.78,1.01,0.69,0.49,0.51,1.53,"70,32%","90,79%",R$ 33.523.346.000,R$ 51.799.121.000,R$ 26.180.888.000,896.346.000,R$ 55.437.714.000,R$ 9.062.136.000,R$ 23.035.331.000,R$ 18.275.775.000,R$ 4.759.556.000,Novo Mercado,"89,53%","100,00%",R$ 274.759.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-13,61%","-5,67%","-21,90%","-16,94%","308,15%","13.278,60%"
PRIO,2022,9.73,5.24,3.37,"0,00%","0,00%","53,86%","66,90%","61,54%","75,57%",6.85,8.42,6.94,8.52,1.64,3.62,-3.44,11.04,3.82,0.31,"34,64%","19,26%","16,88%",-0.08,-0.10,0.93,0.49,0.51,7.64,"64,15%","132,13%",R$ 33.523.346.000,R$ 51.799.121.000,R$ 26.180.888.000,896.346.000,R$ 55.437.714.000,R$ 9.062.136.000,R$ 23.035.331.000,R$ 18.275.775.000,R$ 4.759.556.000,Novo Mercado,"89,53%","100,00%",R$ 274.759.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-13,61%","-5,67%","-21,90%","-16,94%","308,15%","13.278,60%"
PRIO,2021,13.90,4.21,2.80,"0,00%","0,00%","30,32%","57,16%","48,26%","68,31%",5.92,8.38,6.17,8.73,1.52,3.69,-3.03,7.39,1.49,0.36,"20,14%","18,58%","10,91%",-0.25,-0.35,0.59,0.54,0.46,5.63,"61,68%","40,72%",R$ 33.523.346.000,R$ 51.799.121.000,R$ 26.180.888.000,896.346.000,R$ 55.437.714.000,R$ 9.062.136.000,R$ 23.035.331.000,R$ 18.275.775.000,R$ 4.759.556.000,Novo Mercado,"89,53%","100,00%",R$ 274.759.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-13,61%","-5,67%","-21,90%","-16,94%","308,15%","13.278,60%"
PRIO,2020,27.79,6.61,3.99,"0,00%","0,00%","23,78%","32,42%","49,51%","94,32%",7.95,15.15,7.01,13.35,1.85,-40.85,-2.54,17.57,2.53,0.28,"14,37%","16,03%","6,67%",0.95,1.81,0.80,0.46,0.54,0.86,"49,72%","32,62%",R$ 33.523.346.000,R$ 51.799.121.000,R$ 26.180.888.000,896.346.000,R$ 55.437.714.000,R$ 9.062.136.000,R$ 23.035.331.000,R$ 18.275.775.000,R$ 4.759.556.000,Novo Mercado,"89,53%","100,00%",R$ 274.759.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-13,61%","-5,67%","-21,90%","-16,94%","308,15%","13.278,60%"
UGPA,Atual,6.85,0.14,1.24,"2,56%","26,80%","2,11%","7,10%","3,95%","4,65%",5.43,6.40,3.10,3.66,0.44,2.63,-0.69,14.41,2.61,3.03,"18,13%","2,85%","6,78%",2.33,2.74,1.18,0.35,0.60,1.82,"11,20%","27,23%",R$ 20.079.129.000,R$ 35.031.600.000,R$ 16.073.684.000,1.115.507.000,R$ 45.608.193.000,R$ 16.857.052.000,R$ 18.937.993.000,R$ 14.952.471.000,R$ 3.985.522.000,Novo Mercado,"97,66%","100,00%",R$ 77.642.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","14,65%","8,30%","-22,67%","3,64%","5,34%","-21,49%"
UGPA,2024,7.50,0.13,1.17,"4,09%","30,69%","1,77%","7,26%","3,70%","4,38%",4.94,5.84,3.03,3.58,0.45,3.19,-0.75,13.59,2.12,3.37,"15,59%","2,22%","6,39%",1.91,2.26,1.04,0.38,0.60,1.53,"8,37%","44,36%",R$ 20.079.129.000,R$ 35.031.600.000,R$ 16.073.684.000,1.115.507.000,R$ 45.608.193.000,R$ 16.857.052.000,R$ 18.937.993.000,R$ 14.952.471.000,R$ 3.985.522.000,Novo Mercado,"97,66%","100,00%",R$ 77.642.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","14,65%","8,30%","-22,67%","3,64%","5,34%","-21,49%"
UGPA,2023,12.12,0.23,2.19,"1,32%","16,00%","1,94%","7,39%","3,63%","4,36%",6.66,8.01,5.38,6.46,0.77,3.99,-1.51,12.11,2.19,3.30,"18,06%","13,81%","6,58%",1.29,1.55,0.98,0.35,0.63,1.66,"6,80%","17,33%",R$ 20.079.129.000,R$ 35.031.600.000,R$ 16.073.684.000,1.115.507.000,R$ 45.608.193.000,R$ 16.857.052.000,R$ 18.937.993.000,R$ 14.952.471.000,R$ 3.985.522.000,Novo Mercado,"97,66%","100,00%",R$ 77.642.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","14,65%","8,30%","-22,67%","3,64%","5,34%","-21,49%"
UGPA,2022,7.81,0.10,1.20,"4,62%","36,11%","1,25%","5,12%","2,33%","3,04%",4.85,6.33,3.22,4.20,0.39,2.43,-0.79,10.50,1.61,3.94,"15,38%","12,04%","5,05%",1.63,2.13,1.13,0.32,0.67,1.45,"12,36%","3,17%",R$ 20.079.129.000,R$ 35.031.600.000,R$ 16.073.684.000,1.115.507.000,R$ 45.608.193.000,R$ 16.857.052.000,R$ 18.937.993.000,R$ 14.952.471.000,R$ 3.985.522.000,Novo Mercado,"97,66%","100,00%",R$ 77.642.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","14,65%","8,30%","-22,67%","3,64%","5,34%","-21,49%"
UGPA,2021,19.07,0.15,1.61,"4,40%","83,95%","0,78%","4,47%","1,61%","2,46%",11.06,16.88,6.01,9.17,0.42,1.31,-1.16,9.02,0.76,2.81,"8,45%","5,69%","2,27%",5.05,7.71,1.76,0.26,0.73,1.98,"7,24%","-10,86%",R$ 20.079.129.000,R$ 35.031.600.000,R$ 16.073.684.000,1.115.507.000,R$ 45.608.193.000,R$ 16.857.052.000,R$ 18.937.993.000,R$ 14.952.471.000,R$ 3.985.522.000,Novo Mercado,"97,66%","100,00%",R$ 77.642.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","14,65%","8,30%","-22,67%","3,64%","5,34%","-21,49%"
UGPA,2020,29.64,0.33,2.78,"1,01%","29,97%","1,10%","6,91%","2,18%","3,39%",13.81,21.49,9.63,14.97,0.73,3.21,-1.41,8.55,0.80,2.24,"9,37%","4,16%","2,56%",4.19,6.51,2.01,0.26,0.73,1.89,"1,43%","-9,32%",R$ 20.079.129.000,R$ 35.031.600.000,R$ 16.073.684.000,1.115.507.000,R$ 45.608.193.000,R$ 16.857.052.000,R$ 18.937.993.000,R$ 14.952.471.000,R$ 3.985.522.000,Novo Mercado,"97,66%","100,00%",R$ 77.642.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","14,65%","8,30%","-22,67%","3,64%","5,34%","-21,49%"
VBBR,Atual,4.13,0.13,1.12,"6,31%","26,01%","3,11%","4,61%","4,72%","5,15%",4.75,5.19,2.49,2.72,0.39,1.85,-0.65,18.63,5.03,3.03,"26,99%","14,07%","9,39%",2.26,2.46,1.22,0.35,0.65,2.09,"17,30%","7,49%",R$ 23.084.970.000,R$ 44.152.970.000,R$ 20.849.000.000,1.119.000.000,R$ 59.651.000.000,R$ 24.050.000.000,R$ 25.419.000.000,R$ 21.068.000.000,R$ 4.351.000.000,Novo Mercado,"99,61%","100,00%",R$ 203.054.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","1,93%","7,73%","-16,19%","34,52%","15,80%","0,00%"
VBBR,2024,3.14,0.12,0.98,"8,80%","25,29%","3,70%","4,78%","5,09%","5,41%",3.25,3.45,2.14,2.28,0.41,1.15,-0.86,18.22,5.69,3.52,"31,23%","16,02%","12,99%",1.11,1.18,1.02,0.42,0.58,3.04,"12,65%","23,56%",R$ 23.084.970.000,R$ 44.152.970.000,R$ 20.849.000.000,1.119.000.000,R$ 59.651.000.000,R$ 24.050.000.000,R$ 25.419.000.000,R$ 21.068.000.000,R$ 4.351.000.000,Novo Mercado,"99,61%","100,00%",R$ 203.054.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","1,93%","7,73%","-16,19%","34,52%","15,80%","0,00%"
VBBR,2023,5.34,0.16,1.62,"3,66%","9,16%","2,92%","5,13%","4,63%","4,97%",4.24,4.55,3.15,3.38,0.59,1.87,-1.28,14.06,4.26,3.75,"30,30%","18,73%","10,96%",1.09,1.17,0.99,0.36,0.64,2.36,"10,76%","8,34%",R$ 23.084.970.000,R$ 44.152.970.000,R$ 20.849.000.000,1.119.000.000,R$ 59.651.000.000,R$ 24.050.000.000,R$ 25.419.000.000,R$ 21.068.000.000,R$ 4.351.000.000,Novo Mercado,"99,61%","100,00%",R$ 203.054.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","1,93%","7,73%","-16,19%","34,52%","15,80%","0,00%"
VBBR,2022,11.32,0.10,1.38,"5,51%","33,93%","0,85%","4,13%","2,18%","2,49%",6.79,7.74,3.85,4.39,0.42,1.38,-0.92,11.27,1.37,4.41,"12,19%","11,89%","3,74%",2.93,3.34,1.38,0.31,0.69,2.31,"16,50%","5,95%",R$ 23.084.970.000,R$ 44.152.970.000,R$ 20.849.000.000,1.119.000.000,R$ 59.651.000.000,R$ 24.050.000.000,R$ 25.419.000.000,R$ 21.068.000.000,R$ 4.351.000.000,Novo Mercado,"99,61%","100,00%",R$ 203.054.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","1,93%","7,73%","-16,19%","34,52%","15,80%","0,00%"
VBBR,2021,9.59,0.18,1.95,"9,42%","110,37%","1,92%","5,27%","2,00%","2,43%",10.79,13.11,7.57,9.19,0.71,2.30,-1.49,11.00,2.23,3.84,"20,29%","7,38%","7,37%",3.23,3.92,1.12,0.36,0.64,2.42,"8,47%",-%,R$ 23.084.970.000,R$ 44.152.970.000,R$ 20.849.000.000,1.119.000.000,R$ 59.651.000.000,R$ 24.050.000.000,R$ 25.419.000.000,R$ 21.068.000.000,R$ 4.351.000.000,Novo Mercado,"99,61%","100,00%",R$ 203.054.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","1,93%","7,73%","-16,19%","34,52%","15,80%","0,00%"
VBBR,2020,6.34,0.30,2.03,"4,20%","28,26%","4,79%","5,47%","5,60%","6,26%",5.87,6.56,4.85,5.42,0.87,3.86,-1.65,10.91,3.49,2.88,"31,99%","17,54%","13,79%",1.02,1.14,0.70,0.43,0.68,1.92,-%,-%,R$ 23.084.970.000,R$ 44.152.970.000,R$ 20.849.000.000,1.119.000.000,R$ 59.651.000.000,R$ 24.050.000.000,R$ 25.419.000.000,R$ 21.068.000.000,R$ 4.351.000.000,Novo Mercado,"99,61%","100,00%",R$ 203.054.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","1,93%","7,73%","-16,19%","34,52%","15,80%","0,00%"
LUPA,Atual,-1.41,0.47,0.41,-,-,"-33,56%","19,90%","15,07%","19,80%",10.84,14.24,2.38,3.13,0.10,3.11,-0.14,2.77,-0.82,0.21,"-29,49%","2,37%","-7,09%",8.46,11.11,1.49,0.24,0.76,1.13,"14,31%",-,R$ 52.459.000,R$ 230.916.000,R$ 121.242.000,43.716.000,R$ 503.978.000,R$ 144.657.000,R$ 180.813.000,R$ 178.457.000,R$ 2.356.000,Novo Mercado,"82,71%","100,00%",R$ 91.000,"Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,"3,45%","0,00%","-22,08%","-55,06%","-45,21%","-63,64%"
